NR,t_Mach,t_HydrTa,t_TTlubr,t_TT_ab1,t_TT_ab2,t_HdStUp,t_HdStLw,t_Sfrnt1,t_Sfrnt2,t_Srear,t_Smotor,t_ReqDom,t_ExtDom,t_ProDom,t_Envir,DataTime
1,+25.2,+15.7,+22.1,+21.9,+22,+24.7,+24.1,+24.3,+24.3,+24.3,+26,+24,+24,+24,+21.4,02:57:01 26.03.2020
2,+25.2,+15.7,+22.1,+21.9,+22,+24.7,+24.2,+24.3,+24.3,+24.2,+26,+24,+24,+24,+21.4,02:58:01 26.03.2020
3,+25.2,+15.7,+22.1,+21.9,+22,+24.8,+24.2,+24.3,+24.3,+24.3,+26,+24,+24,+24,+21.4,02:59:01 26.03.2020
4,+25.2,+15.7,+22.1,+21.9,+22,+24.8,+24.2,+24.3,+24.3,+24.3,+26,+24,+24,+24,+21.4,03:00:01 26.03.2020
5,+25.2,+15.7,+22.1,+21.9,+22,+24.8,+24.2,+24.3,+24.3,+24.3,+26,+24,+24,+24,+21.5,03:01:01 26.03.2020
6,+25.2,+15.7,+22.1,+21.9,+22,+24.8,+24.2,+24.3,+24.3,+24.3,+26,+24,+24,+24,+21.5,03:02:01 26.03.2020
7,+25.2,+15.7,+22.1,+21.9,+22,+24.8,+24.2,+24.3,+24.3,+24.3,+26,+24,+24,+24,+21.5,03:03:01 26.03.2020
8,+25.2,+15.7,+22.1,+21.9,+22,+24.8,+24.2,+24.3,+24.3,+24.3,+26,+24,+24,+24,+21.5,03:04:01 26.03.2020
9,+25.1,+15.7,+22.1,+21.9,+22,+24.8,+24.2,+24.3,+24.3,+24.3,+26,+24,+24,+24,+21.5,03:05:01 26.03.2020
10,+25.1,+15.7,+22.1,+21.9,+22,+24.7,+24.2,+24.3,+24.3,+24.3,+26,+24,+24,+24,+21.5,03:06:01 26.03.2020
11,+25.1,+15.7,+22.1,+21.9,+22,+24.7,+24.2,+24.3,+24.3,+24.3,+26,+24,+24,+24,+21.4,03:07:01 26.03.2020
12,+25.1,+15.7,+22.1,+21.9,+22,+24.7,+24.2,+24.3,+24.3,+24.3,+26,+24,+24,+24,+21.4,03:08:01 26.03.2020
13,+25.1,+15.7,+22.1,+21.9,+22,+24.7,+24.2,+24.3,+24.3,+24.3,+26,+24,+24,+24,+21.4,03:09:01 26.03.2020
14,+25.1,+15.7,+22.1,+21.9,+22,+24.7,+24.2,+24.3,+24.3,+24.3,+26,+24,+24,+24,+21.4,03:10:01 26.03.2020
15,+25.2,+15.7,+22.1,+21.9,+22,+24.7,+24.2,+24.3,+24.3,+24.3,+26,+24,+24,+24,+21.3,03:11:01 26.03.2020
16,+25.2,+15.7,+22.1,+21.9,+22,+24.7,+24.2,+24.3,+24.3,+24.3,+26,+24,+24,+24,+21.4,03:12:01 26.03.2020
17,+25.2,+15.7,+22.1,+21.9,+22,+24.8,+24.2,+24.3,+24.3,+24.3,+26,+24,+24,+24,+21.3,03:13:01 26.03.2020
18,+25.2,+15.6,+22.1,+21.9,+22,+24.8,+24.2,+24.3,+24.3,+24.3,+26,+24,+24,+24,+21.4,03:14:01 26.03.2020
19,+25.2,+15.6,+22.1,+21.9,+22,+24.8,+24.2,+24.3,+24.3,+24.3,+26,+24,+24,+24,+21.4,03:15:01 26.03.2020
20,+25.2,+15.6,+22.1,+21.9,+22,+24.8,+24.2,+24.3,+24.3,+24.3,+26,+24,+24,+24,+21.4,03:16:01 26.03.2020
21,+25.2,+15.6,+22.1,+21.9,+22,+24.8,+24.2,+24.3,+24.3,+24.3,+26,+24,+24,+24,+21.4,03:17:01 26.03.2020
22,+25.2,+15.6,+22.1,+21.9,+22,+24.8,+24.2,+24.3,+24.3,+24.3,+26,+24,+24,+24,+21.4,03:18:01 26.03.2020
23,+25.2,+15.6,+22.1,+21.9,+22,+24.8,+24.2,+24.3,+24.3,+24.3,+26,+24,+24,+24,+21.4,03:19:01 26.03.2020
24,+25.1,+15.6,+22.1,+21.9,+22,+24.8,+24.2,+24.3,+24.3,+24.3,+26,+24,+24,+24,+21.4,03:20:01 26.03.2020
25,+25.1,+15.6,+22.1,+21.9,+22,+24.8,+24.2,+24.3,+24.3,+24.3,+26,+24,+24,+24,+21.4,03:21:01 26.03.2020
26,+25.1,+15.6,+22.1,+21.9,+22,+24.7,+24.2,+24.3,+24.3,+24.3,+26,+24,+24,+24,+21.4,03:22:01 26.03.2020
27,+25.1,+15.6,+22.1,+21.9,+22,+24.7,+24.2,+24.3,+24.3,+24.3,+26,+24,+24,+24,+21.3,03:23:01 26.03.2020
28,+25.1,+15.6,+22.1,+21.9,+22,+24.7,+24.2,+24.3,+24.3,+24.3,+26,+24,+24,+23,+21.3,03:24:01 26.03.2020
29,+25.1,+15.6,+22.1,+21.9,+22,+24.7,+24.2,+24.3,+24.3,+24.3,+26,+24,+24,+24,+21.3,03:25:01 26.03.2020
