DataTime,t_Mach,t_HdStUp,t_HdStLw,t_HydrTa,t_TTlubr,t_TT_ab1,t_TT_ab2,t_Sfrnt1,t_Sfrnt2,t_Srear,t_Smotor
2019-07-16 17:13:11,24.2,24.0,23.9,27.8,23.1,22.9,23.2,25.6,25.5,25.6,28.0
2019-07-16 17:13:26,24.2,24.0,23.9,27.8,23.1,22.9,23.1,25.6,25.5,25.5,27.5
2019-07-16 17:13:40,24.2,24.0,23.9,27.8,23.1,22.9,23.2,25.4,25.5,25.2,27.8
2019-07-16 17:34:08,24.2,24.0,23.9,27.8,23.1,22.9,23.2,25.3,25.4,25.0,27.7
2019-07-16 17:54:54,24.2,24.0,23.9,27.7,23.1,22.9,23.1,24.9,25.0,25.0,28.0
2019-07-16 18:15:40,24.1,24.0,23.8,27.8,23.1,22.9,23.1,25.5,25.7,25.6,30.0
2019-07-16 18:36:26,24.1,24.0,23.8,27.8,23.1,22.9,23.1,26.9,27.2,26.3,34.0
2019-07-16 18:57:12,24.1,23.9,23.8,27.9,23.0,22.9,23.1,28.8,29.4,27.9,45.8
2019-07-16 19:17:58,24.1,23.9,23.8,27.9,23.0,22.9,23.1,31.7,32.5,30.5,62.2
2019-07-16 19:38:43,24.1,23.9,23.8,28.0,23.0,22.9,23.1,34.8,36.0,34.1,75.7
2019-07-16 19:59:28,24.1,24.0,23.8,28.0,23.0,22.9,23.1,35.1,36.5,34.6,76.5
2019-07-16 20:20:12,24.1,24.0,23.8,27.9,23.0,22.9,23.1,32.4,33.5,32.4,63.8
2019-07-16 20:40:56,24.1,23.9,23.8,27.9,23.0,22.9,23.1,29.5,30.1,29.4,47.7
2019-07-16 21:01:40,24.1,23.9,23.8,27.8,23.0,22.9,23.1,27.4,27.7,27.5,35.0
2019-07-16 21:22:25,24.1,23.9,23.8,27.8,23.0,22.9,23.1,25.8,26.0,26.3,30.2
2019-07-16 21:43:10,24.0,23.9,23.8,27.7,23.0,22.9,23.1,25.1,25.2,25.6,28.2
2019-07-16 22:03:56,24.0,23.9,23.8,27.7,23.0,22.9,23.1,25.0,25.1,25.4,28.0
2019-07-16 22:24:42,23.9,23.8,23.8,27.6,23.0,22.9,23.1,25.5,25.7,25.7,30.0
2019-07-16 22:45:28,23.9,23.8,23.8,27.5,23.0,22.9,23.1,26.8,27.1,26.2,34.0
2019-07-16 23:06:14,23.9,23.8,23.7,27.5,23.0,22.9,23.1,28.7,29.1,27.8,45.8
2019-07-16 23:27:00,23.8,23.8,23.7,27.4,23.0,22.9,23.1,31.6,32.5,30.6,62.2
2019-07-16 23:47:45,23.8,23.8,23.7,27.4,23.0,22.9,23.1,34.8,36.0,34.1,75.8
2019-07-17 00:08:30,23.8,23.8,23.7,27.3,23.0,22.9,23.1,35.1,36.5,34.4,76.5
2019-07-17 00:29:14,23.8,23.8,23.7,27.3,23.0,22.9,23.1,32.4,33.5,32.3,63.7
2019-07-17 00:49:58,23.8,23.8,23.7,27.2,23.0,22.9,23.1,29.4,30.0,29.3,47.7
2019-07-17 01:10:42,23.8,23.8,23.7,27.2,23.0,22.9,23.1,27.3,27.7,27.4,35.0
2019-07-17 01:31:27,23.7,23.8,23.7,27.1,23.0,22.9,23.1,25.8,26.0,26.3,30.1
2019-07-17 01:52:14,23.7,23.7,23.7,27.1,23.0,22.9,23.1,25.1,25.2,25.6,28.0
2019-07-17 02:13:02,23.6,23.7,23.7,27.0,23.0,22.9,23.1,26.9,27.1,26.3,34.0
2019-07-17 02:33:44,23.6,23.7,23.6,26.9,23.0,22.9,23.1,34.3,35.4,32.9,74.2
2019-07-17 02:54:28,23.6,23.7,23.6,26.9,23.0,23.0,23.1,27.7,28.2,28.4,36.0
2019-07-17 03:15:14,23.6,23.7,23.6,26.8,23.1,23.0,23.1,25.4,25.5,26.2,29.0
2019-07-17 03:35:58,23.5,23.7,23.6,26.8,23.1,23.0,23.1,25.9,26.1,26.3,31.0
2019-07-17 03:56:43,23.5,23.7,23.6,26.7,23.1,23.0,23.2,25.1,25.2,25.5,28.0
2019-07-17 04:17:29,23.5,23.6,23.6,26.6,23.1,23.0,23.2,24.6,24.6,24.7,27.0
2019-07-17 04:38:13,23.4,23.6,23.6,26.5,23.1,23.0,23.2,25.4,25.6,25.6,30.0
2019-07-17 04:58:58,23.4,23.6,23.5,26.5,23.1,23.0,23.2,24.6,24.6,24.6,27.0
2019-07-17 05:19:47,23.3,23.6,23.5,26.4,23.1,23.0,23.2,24.6,24.6,24.5,27.0
2019-07-17 05:40:29,23.3,23.6,23.5,26.3,23.1,23.0,23.2,28.5,29.1,27.4,45.5
2019-07-17 06:01:13,23.3,23.5,23.5,26.2,23.1,23.0,23.2,24.9,24.9,25.2,27.2
2019-07-17 06:21:26,23.3,23.5,23.5,26.1,23.1,23.0,23.2,25.5,25.6,26.3,28.0
2019-07-17 06:41:38,23.2,23.5,23.4,25.8,23.1,23.0,23.2,25.5,25.6,26.0,28.0
2019-07-17 07:01:50,23.1,23.5,23.4,25.4,23.1,23.0,23.2,25.3,25.3,25.5,27.1
2019-07-17 07:22:03,23.1,23.4,23.4,25.1,23.1,23.0,23.2,25.1,25.1,25.1,27.0
