DataTime,t_Mach,t_H_left,t_Headst,t_H_righ,t_H_up,t_H_low,t_Liq_co,t_Senso1,t_Senso2,PLC_Byte,PLC_Byt2,PLC_VAL
2017-11-25 10:46:01,20.3,22.2,20.9,22.4,21.6,22.0,20.4,0,0,%00000000,%00000000,0
2017-11-27 09:05:01,15.2,15.2,15.0,15.3,15.1,15.2,23.1,0,0,%00000000,%00000000,0
2017-11-27 11:45:01,17.8,15.9,16.3,16.2,16.7,16.1,20.0,0,0,%00000000,%00000000,0
2017-11-27 14:21:01,20.6,17.4,18.1,17.6,18.8,17.7,22.8,0,0,%00000000,%00000000,0
2017-11-27 15:36:01,21.2,18.1,18.8,18.3,19.8,18.6,23.9,0,0,%00000000,%00000000,0
2017-11-27 16:36:01,21.4,18.5,19.1,18.7,20.2,19.1,22.0,0,0,%00000000,%00000000,0
2017-11-27 17:36:01,21.2,21.2,19.4,20.1,20.2,20.6,23.7,0,0,%00000000,%00000000,0
2017-11-28 08:17:01,18.5,18.2,18.6,18.5,18.6,18.4,18.4,0,0,%00000000,%00000000,0
2017-11-28 09:17:01,18.8,18.6,18.7,18.8,18.8,18.7,23.8,0,0,%00000000,%00000000,0
2017-11-28 10:17:01,19.2,18.7,18.8,18.9,19.0,18.8,23.7,0,0,%00000000,%00000000,0
2017-11-28 11:17:01,19.6,18.9,19.0,19.1,19.3,18.9,23.6,0,0,%00000000,%00000000,0
2017-11-28 12:19:01,20.0,19.0,19.2,19.3,19.7,19.2,22.1,0,0,%00000000,%00000000,0
2017-11-28 13:19:01,20.3,19.1,19.4,19.4,19.9,19.4,22.6,0,0,%00000000,%00000000,0
2017-11-28 14:19:01,20.7,19.4,19.6,19.6,20.2,19.6,22.5,0,0,%00000000,%00000000,0
2017-11-28 15:19:01,21.0,19.5,19.8,19.8,20.4,19.8,23.5,0,0,%00000000,%00000000,0
2017-11-28 16:19:01,21.2,19.9,20.1,20.3,20.7,20.2,23.7,0,0,%00000000,%00000000,0
2017-11-28 17:19:01,21.1,19.9,20.2,20.3,20.8,20.3,23.7,0,0,%00000000,%00000000,0
2017-11-28 18:19:01,20.9,19.9,20.2,20.3,20.8,20.4,22.6,0,0,%00000000,%00000000,0
2017-11-28 19:19:01,20.7,19.8,20.2,20.2,20.7,20.3,21.2,0,0,%00000000,%00000000,0
2017-11-28 20:19:01,20.4,19.7,20.1,20.1,20.6,20.1,23.0,0,0,%00000000,%00000000,0
2017-11-28 21:19:01,19.8,19.5,19.9,19.9,20.3,19.9,22.9,0,0,%00000000,%00000000,0
2017-11-28 22:19:01,19.2,19.3,19.6,19.7,20.0,19.6,22.0,0,0,%00000000,%00000000,0
2017-11-28 23:19:01,18.7,19.1,19.3,19.5,19.7,19.3,21.2,0,0,%00000000,%00000000,0
2017-11-29 00:19:01,18.2,18.8,19.1,19.3,19.3,18.9,20.5,0,0,%00000000,%00000000,0
2017-11-29 01:19:01,17.7,18.6,18.7,19.0,18.9,18.6,19.8,0,0,%00000000,%00000000,0
2017-11-29 02:19:01,17.2,18.3,18.4,18.7,18.5,18.3,19.2,0,0,%00000000,%00000000,0
2017-11-29 03:19:01,16.7,18.0,18.1,18.4,18.1,17.9,18.6,0,0,%00000000,%00000000,0
