DataTime,t_TTlubr,t_TT_ab1,t_TT_ab2,t_Sfrnt1,t_Sfrnt2,t_Srear,t_Smotor,S_Speed,S_Load,tCo_H_Y1,tCo_H_Z1,tCo_H_Y2
2021-08-04 17:30:01,24.9,24.2,24.3,22.6,22.6,23.0,25.0,0,0,0.0045,0.0284,0.0081
2021-08-04 17:31:01,24.9,24.2,24.3,22.5,22.5,23.0,25.0,0,0,0.0045,0.0283,0.0081
2021-08-04 17:32:01,24.9,24.2,24.3,22.5,22.5,22.9,25.0,0,0,0.0045,0.0283,0.0081
2021-08-04 17:33:01,24.9,24.2,24.2,22.5,22.5,22.9,25.0,0,0,0.0045,0.0283,0.0081
2021-08-04 17:34:01,24.9,24.1,24.2,22.5,22.5,22.9,25.0,0,0,0.0045,0.0283,0.0081
2021-08-04 17:35:01,24.8,24.1,24.2,22.5,22.5,22.9,25.0,0,0,0.0045,0.0283,0.0081
2021-08-04 17:36:01,24.8,24.1,24.2,22.5,22.5,22.9,25.0,0,0,0.0045,0.0283,0.0081
2021-08-04 17:37:01,24.8,24.1,24.2,22.5,22.5,22.9,25.0,0,0,0.0045,0.0283,0.0081
2021-08-04 17:38:01,24.8,24.1,24.2,22.5,22.5,22.9,25.0,0,0,0.0045,0.0283,0.0081
2021-08-04 17:39:01,24.8,24.1,24.2,22.5,22.5,22.9,25.0,0,0,0.0045,0.0283,0.0081
2021-08-04 17:40:01,24.8,24.1,24.2,22.5,22.5,22.9,25.0,0,0,0.0045,0.0283,0.0081
2021-08-04 17:41:01,24.8,24.1,24.2,22.5,22.5,22.9,25.0,0,0,0.0045,0.0283,0.0081
2021-08-04 17:42:01,24.8,24.1,24.2,22.5,22.5,22.9,25.0,0,0,0.0045,0.0283,0.0081
2021-08-04 17:43:01,24.8,24.1,24.2,22.5,22.5,22.9,25.0,0,0,0.0045,0.0283,0.0082
2021-08-04 17:44:01,24.8,24.1,24.2,22.5,22.5,22.9,25.0,0,0,0.0045,0.0283,0.0082
2021-08-04 17:45:01,24.8,24.1,24.1,22.5,22.5,22.9,25.0,0,0,0.0045,0.0283,0.0082
2021-08-04 17:46:01,24.8,24.1,24.1,22.5,22.5,22.9,25.0,0,0,0.0045,0.0283,0.0082
2021-08-04 17:47:01,24.8,24.1,24.1,22.5,22.5,22.9,25.0,0,0,0.0045,0.0283,0.0082
2021-08-04 17:48:01,24.7,24.0,24.1,22.5,22.5,22.9,25.0,0,0,0.0044,0.0282,0.0082
2021-08-04 17:49:01,24.7,24.0,24.1,22.5,22.4,22.8,25.0,0,0,0.0044,0.0282,0.0082
2021-08-04 17:50:01,24.7,24.0,24.1,22.5,22.4,22.8,25.0,0,0,0.0044,0.0282,0.0082
2021-08-04 17:51:01,24.7,24.0,24.1,22.5,22.4,22.8,25.0,0,0,0.0044,0.0282,0.0082
2021-08-04 17:52:01,24.7,24.0,24.1,22.5,22.4,22.8,25.0,0,0,0.0044,0.0282,0.0082
2021-08-04 17:53:01,24.7,24.0,24.1,22.5,22.4,22.8,25.0,0,0,0.0044,0.0282,0.0082
2021-08-04 17:54:01,24.7,24.0,24.1,22.5,22.4,22.8,25.0,0,0,0.0044,0.0282,0.0081
2021-08-04 17:55:01,24.7,24.0,24.1,22.4,22.4,22.8,25.0,0,0,0.0044,0.0282,0.0081
2021-08-04 17:56:01,24.7,24.0,24.1,22.4,22.4,22.8,25.0,0,0,0.0044,0.0282,0.0081
2021-08-04 17:57:01,24.7,24.0,24.1,22.4,22.4,22.8,25.0,0,0,0.0044,0.0282,0.0081
2021-08-04 17:58:01,24.7,24.0,24.1,22.4,22.4,22.8,25.0,0,0,0.0044,0.0281,0.0081
2021-08-04 17:59:01,24.7,23.9,24.1,22.4,22.3,22.8,25.0,0,0,0.0044,0.028,0.0081
2021-08-04 18:00:01,24.7,23.9,24.1,22.4,22.3,22.8,25.0,0,0,0.0044,0.028,0.0081
2021-08-04 18:01:01,24.7,23.9,24.1,22.4,22.3,22.8,25.0,0,0,0.0044,0.028,0.0081
2021-08-04 18:02:01,24.6,23.9,24.0,22.3,22.3,22.8,25.0,0,0,0.0044,0.028,0.0081
2021-08-04 18:03:01,24.6,23.9,24.0,22.3,22.3,22.8,25.0,0,0,0.0044,0.028,0.0081
2021-08-04 18:04:01,24.6,23.9,24.0,22.3,22.3,22.7,25.0,0,0,0.0044,0.028,0.0081
2021-08-04 18:05:01,24.6,23.9,24.0,22.3,22.3,22.7,25.0,0,0,0.0044,0.028,0.0081
2021-08-04 18:06:01,24.6,23.9,24.0,22.3,22.3,22.7,25.0,0,0,0.0044,0.028,0.0081
2021-08-04 18:07:01,24.6,23.9,24.0,22.3,22.3,22.7,25.0,0,0,0.0044,0.028,0.0081
2021-08-04 18:08:01,24.6,23.9,24.0,22.3,22.2,22.7,25.0,0,0,0.0044,0.0279,0.0081
2021-08-04 18:09:01,24.6,23.9,24.0,22.3,22.2,22.7,25.0,0,0,0.0044,0.0279,0.0081
2021-08-04 18:10:01,24.6,23.9,24.0,22.2,22.2,22.7,25.0,0,0,0.0044,0.0279,0.0081
2021-08-04 18:11:01,24.6,23.9,24.0,22.2,22.2,22.7,25.0,0,0,0.0044,0.0279,0.0081
2021-08-04 18:12:01,24.6,23.8,24.0,22.2,22.2,22.7,25.0,0,0,0.0044,0.0279,0.0081
2021-08-04 18:13:01,24.6,23.8,24.0,22.2,22.2,22.7,25.0,0,0,0.0044,0.0279,0.0081
2021-08-04 18:14:01,24.6,23.8,24.0,22.2,22.2,22.6,25.0,0,0,0.0044,0.0279,0.0081
2021-08-04 18:15:01,24.6,23.8,24.0,22.2,22.2,22.6,25.0,0,0,0.0044,0.0279,0.0081
2021-08-04 18:16:01,24.6,23.8,24.0,22.2,22.2,22.6,25.0,0,0,0.0044,0.0279,0.0081
2021-08-04 18:17:01,24.6,23.8,23.9,22.3,22.2,22.6,25.0,0,0,0.0044,0.0279,0.0081
2021-08-04 18:18:01,24.6,23.8,23.9,22.3,22.2,22.6,25.0,0,0,0.0044,0.0279,0.0081
2021-08-04 18:19:01,24.6,23.8,23.9,22.3,22.2,22.6,25.0,0,0,0.0044,0.0279,0.0081
2021-08-04 18:20:01,24.5,23.8,23.9,22.3,22.2,22.6,25.0,0,0,0.0044,0.0279,0.0081
2021-08-04 18:21:01,24.5,23.8,23.9,22.3,22.2,22.6,25.0,0,0,0.0044,0.0279,0.0081
2021-08-04 18:22:01,24.5,23.8,23.9,22.3,22.2,22.6,25.0,0,0,0.0044,0.0279,0.0081
2021-08-04 18:23:01,24.5,23.8,23.9,22.3,22.2,22.6,25.0,0,0,0.0044,0.0279,0.0081
2021-08-04 18:24:01,24.5,23.8,23.9,22.3,22.2,22.6,25.0,0,0,0.0044,0.0279,0.0081
2021-08-04 18:25:01,24.5,23.8,23.9,22.3,22.2,22.6,25.0,0,0,0.0044,0.0279,0.0081
2021-08-04 18:26:01,24.5,23.8,23.9,22.3,22.2,22.6,25.0,0,0,0.0044,0.0279,0.0081
2021-08-04 18:27:01,24.5,23.8,23.9,22.3,22.2,22.6,25.0,0,0,0.0044,0.0279,0.0081
2021-08-04 18:28:01,24.5,23.8,23.9,22.3,22.2,22.6,25.0,0,0,0.0044,0.0279,0.0081
2021-08-04 18:29:01,24.5,23.7,23.9,22.2,22.2,22.6,25.0,0,0,0.0044,0.0279,0.0081
2021-08-04 18:30:01,24.5,23.7,23.9,22.2,22.2,22.6,25.0,0,0,0.0044,0.0279,0.0081
2021-08-04 18:31:01,24.5,23.7,23.9,22.2,22.2,22.6,25.0,0,0,0.0044,0.0279,0.0081
2021-08-04 18:32:01,24.4,23.7,23.9,22.2,22.1,22.6,25.0,0,0,0.0044,0.0278,0.0081
2021-08-04 18:33:01,24.4,23.7,23.8,22.2,22.1,22.6,24.8,0,0,0.0044,0.0278,0.0081
2021-08-04 18:34:01,24.4,23.7,23.8,22.2,22.1,22.6,25.0,0,0,0.0044,0.0278,0.0081
2021-08-04 18:35:01,24.4,23.7,23.8,22.2,22.1,22.6,25.0,0,0,0.0044,0.0278,0.0081
2021-08-04 18:36:01,24.4,23.7,23.8,22.2,22.1,22.5,25.0,0,0,0.0044,0.0278,0.0081
2021-08-04 18:37:01,24.4,23.7,23.8,22.2,22.1,22.5,25.0,0,0,0.0044,0.0278,0.0081
2021-08-04 18:38:01,24.4,23.7,23.8,22.1,22.1,22.5,25.0,0,0,0.0044,0.0278,0.0081
2021-08-04 18:39:01,24.4,23.7,23.8,22.1,22.1,22.5,25.0,0,0,0.0044,0.0278,0.0081
2021-08-04 18:40:01,24.4,23.7,23.8,22.1,22.1,22.5,25.0,0,0,0.0044,0.0278,0.0081
2021-08-04 18:41:01,24.4,23.7,23.8,22.1,22.1,22.5,24.8,0,0,0.0044,0.0278,0.0081
2021-08-04 18:42:01,24.4,23.6,23.8,22.1,22.0,22.5,24.7,0,0,0.0044,0.0277,0.0081
2021-08-04 18:43:01,24.4,23.6,23.8,22.1,22.0,22.5,24.8,0,0,0.0044,0.0277,0.0081
2021-08-04 18:44:01,24.4,23.6,23.8,22.1,22.0,22.5,24.8,0,0,0.0044,0.0277,0.0081
2021-08-04 18:45:01,24.3,23.6,23.8,22.0,22.0,22.5,24.8,0,0,0.0044,0.0277,0.0081
2021-08-04 18:46:01,24.3,23.6,23.8,22.0,22.0,22.5,24.8,0,0,0.0044,0.0277,0.0081
2021-08-04 18:47:01,24.3,23.6,23.8,22.0,22.0,22.5,24.7,0,0,0.0044,0.0277,0.0081
2021-08-04 18:48:01,24.3,23.6,23.8,22.0,22.0,22.5,24.3,0,0,0.0044,0.0277,0.0081
2021-08-04 18:49:01,24.3,23.6,23.8,22.0,22.0,22.5,24.5,0,0,0.0044,0.0277,0.0081
2021-08-04 18:50:01,24.3,23.6,23.8,22.0,22.0,22.5,24.3,0,0,0.0044,0.0277,0.0081
2021-08-04 18:51:01,24.3,23.6,23.8,22.0,22.0,22.4,24.1,0,0,0.0044,0.0277,0.0081
2021-08-04 18:52:01,24.3,23.6,23.8,22.0,22.0,22.5,24.2,0,0,0.0044,0.0277,0.0081
2021-08-04 18:53:01,24.3,23.6,23.8,22.0,22.0,22.4,24.2,0,0,0.0044,0.0277,0.0081
2021-08-04 18:54:01,24.3,23.6,23.8,22.0,22.0,22.4,24.0,0,0,0.0044,0.0277,0.0081
2021-08-04 18:55:01,24.3,23.6,23.8,22.0,22.0,22.4,24.1,0,0,0.0044,0.0277,0.0081
2021-08-04 18:56:01,24.3,23.6,23.7,22.1,22.0,22.5,24.0,0,0,0.0044,0.0277,0.0081
2021-08-04 18:57:01,24.3,23.6,23.7,22.1,22.0,22.4,24.1,0,0,0.0044,0.0277,0.0081
2021-08-04 18:58:01,24.3,23.6,23.7,22.1,22.0,22.4,24.0,0,0,0.0044,0.0277,0.0081
2021-08-04 18:59:01,24.3,23.6,23.7,22.1,22.0,22.4,24.1,0,0,0.0044,0.0277,0.0081
2021-08-04 19:00:01,24.3,23.6,23.7,22.1,22.0,22.4,24.1,0,0,0.0044,0.0277,0.0081
2021-08-04 19:01:01,24.3,23.6,23.7,22.1,22.0,22.4,24.0,0,0,0.0044,0.0277,0.0081
2021-08-04 19:02:01,24.2,23.5,23.7,22.1,22.0,22.4,24.0,0,0,0.0044,0.0277,0.0081
2021-08-04 19:03:01,24.2,23.5,23.7,22.1,22.0,22.4,24.0,0,0,0.0044,0.0277,0.0081
2021-08-04 19:04:01,24.2,23.5,23.7,22.1,22.0,22.4,24.0,0,0,0.0044,0.0277,0.0081
2021-08-04 19:05:01,24.2,23.5,23.7,22.1,22.0,22.4,24.0,0,0,0.0044,0.0277,0.0081
