DataTime,air_hour
2020-06-18 08:59:01,36
2020-06-18 08:59:07,35
2020-06-18 08:59:23,34
2020-06-18 08:59:32,37
2020-06-18 08:59:34,44
2020-06-18 08:59:36,48
2020-06-18 08:59:38,42
2020-06-18 08:59:39,43
2020-06-18 08:59:44,39
2020-06-18 09:04:44,33
2020-06-18 09:04:46,34
2020-06-18 09:04:53,37
2020-06-18 09:04:55,36
2020-06-18 09:48:01,34
2020-06-18 10:48:01,34
2020-06-18 11:27:39,34
2020-06-18 11:27:46,34
2020-06-18 11:32:49,35
2020-06-18 11:32:51,35
2020-06-18 11:34:55,34
2020-06-18 11:34:57,34
2020-06-18 11:39:01,36
2020-06-18 11:45:43,54
2020-06-18 11:45:44,43
2020-06-18 11:45:46,45
2020-06-18 12:40:01,35
2020-06-18 13:41:01,587
2020-06-18 14:42:01,33
2020-06-18 15:43:01,32
2020-06-18 16:43:01,587
2020-06-18 17:43:01,608
2020-06-18 18:43:01,602
2020-06-18 19:43:01,604
2020-06-18 20:43:01,618
2020-06-18 21:43:01,596
2020-06-18 22:43:01,603
2020-06-18 23:43:01,598
2020-06-19 00:43:01,592
2020-06-19 01:43:01,597
2020-06-19 02:43:01,594
2020-06-19 03:43:01,599
2020-06-19 04:43:01,588
2020-06-19 05:43:01,596
2020-06-19 06:43:01,608
2020-06-19 07:43:01,597
2020-06-19 08:46:01,652
2020-06-19 09:46:01,650
2020-06-19 10:51:01,649
2020-06-19 11:52:01,650
2020-06-19 13:02:01,590
2020-06-19 14:14:01,649
2020-06-19 15:23:01,596
2020-06-19 16:23:01,596
2020-06-19 17:23:01,589
2020-06-19 18:23:01,1
2020-06-19 19:23:01,1
2020-06-19 20:23:01,1
2020-06-19 21:23:01,1
2020-06-19 22:23:01,1
2020-06-19 23:23:01,1
2020-06-20 00:23:01,1
2020-06-20 01:23:01,1
2020-06-20 02:23:01,1
2020-06-20 03:23:01,1
2020-06-20 04:23:01,1
2020-06-20 05:23:01,1
2020-06-20 06:23:01,1
2020-06-20 07:23:01,1
2020-06-20 08:23:01,1
2020-06-20 09:23:01,1
2020-06-20 10:23:01,1
2020-06-20 11:23:01,1
2020-06-20 12:23:01,1
2020-06-20 13:23:01,1
2020-06-20 14:23:01,1
2020-06-20 15:23:01,1
2020-06-20 16:23:01,1
2020-06-20 17:23:01,1
2020-06-20 18:23:01,1
2020-06-20 19:23:01,1
2020-06-20 20:23:01,1
2020-06-20 21:23:01,1
2020-06-20 22:23:01,1
2020-06-20 23:23:01,1
2020-06-21 00:23:01,1
2020-06-21 01:23:01,1
2020-06-21 02:23:01,1
2020-06-21 03:23:01,1
2020-06-21 04:23:01,1
2020-06-21 05:23:01,1
2020-06-21 06:23:01,1
2020-06-21 07:23:01,1
2020-06-21 08:23:01,1
2020-06-21 09:23:01,1
2020-06-21 10:23:01,1
2020-06-21 11:23:01,1
2020-06-21 12:23:01,1
2020-06-21 13:23:01,1
2020-06-21 14:23:01,1
2020-06-21 15:23:01,1
2020-06-21 16:23:01,1
2020-06-21 17:23:01,1
2020-06-21 18:23:01,1
2020-06-21 19:23:01,1
2020-06-21 20:23:01,1
2020-06-21 21:23:01,1
2020-06-21 22:23:01,1
2020-06-21 23:23:01,1
2020-06-22 00:23:01,1
2020-06-22 01:23:01,1
2020-06-22 02:23:01,1
2020-06-22 03:23:01,1
2020-06-22 04:23:01,1
2020-06-22 05:23:01,1
2020-06-22 06:23:01,1
2020-06-22 07:23:01,32
2020-06-22 08:23:01,34
2020-06-22 09:23:01,34
2020-06-22 10:23:01,33
2020-06-22 11:23:01,608
2020-06-22 12:23:01,590
2020-06-22 13:23:01,590
2020-06-22 14:23:01,587
2020-06-22 15:23:01,577
2020-06-22 16:23:01,32
2020-06-22 17:23:01,33
2020-06-22 18:23:01,32
2020-06-22 19:23:01,33
2020-06-22 20:23:01,32
2020-06-22 21:23:01,32
2020-06-22 22:23:01,1
2020-06-22 23:23:01,33
2020-06-23 00:23:01,31
2020-06-23 01:23:01,34
2020-06-23 02:23:01,12
2020-06-23 03:23:01,34
2020-06-23 04:23:01,34
2020-06-23 05:23:01,21
2020-06-23 06:23:01,34
2020-06-23 07:23:01,34
2020-06-23 08:23:01,33
2020-06-23 09:23:01,33
2020-06-23 10:23:01,32
2020-06-23 11:23:01,33
2020-06-23 12:23:01,31
2020-06-23 15:42:01,599
2020-06-23 16:58:01,781
2020-06-23 17:58:01,31
2020-06-23 18:58:01,32
2020-06-23 19:58:01,1
2020-06-23 20:58:01,33
2020-06-23 21:58:01,1
2020-06-23 22:58:01,33
2020-06-23 23:58:01,1
2020-06-24 00:58:01,33
2020-06-24 01:58:01,1
2020-06-24 02:58:01,32
2020-06-24 03:58:01,33
2020-06-24 04:58:01,34
2020-06-24 05:58:01,32
2020-06-24 06:58:01,34
2020-06-24 07:58:01,32
2020-06-24 08:58:01,640
2020-06-24 09:58:01,642
2020-06-24 10:58:01,656
2020-06-24 11:58:01,642
2020-06-24 12:59:01,645
2020-06-24 14:07:01,588
2020-06-24 15:08:01,31
2020-06-24 16:08:01,1
2020-06-24 17:08:01,638
2020-06-24 18:12:01,806
2020-06-24 19:18:01,834
2020-06-24 20:26:01,811
2020-06-24 21:31:01,1055
2020-06-24 22:39:01,805
2020-06-24 23:45:01,1227
2020-06-25 00:50:01,819
2020-06-25 01:55:01,1103
2020-06-25 02:55:01,648
2020-06-25 03:55:01,1093
2020-06-25 04:55:01,647
2020-06-25 05:55:01,968
2020-06-25 06:55:01,650
2020-06-25 07:55:01,645
2020-06-25 08:55:01,31
2020-06-25 09:55:01,32
2020-06-25 10:55:01,32
2020-06-25 11:55:01,32
2020-06-25 12:55:01,33
2020-06-25 13:55:01,34
2020-06-25 14:55:01,31
2020-06-25 15:55:01,34
2020-06-25 16:55:01,34
2020-06-25 17:55:01,31
2020-06-25 18:55:01,34
2020-06-25 19:55:01,31
2020-06-25 20:55:01,35
2020-06-25 21:55:01,31
2020-06-25 22:55:01,32
2020-06-25 23:55:01,32
2020-06-26 00:55:01,32
2020-06-26 01:55:01,33
2020-06-26 02:55:01,34
2020-06-26 03:55:01,34
2020-06-26 04:55:01,34
2020-06-26 05:55:01,33
2020-06-26 06:55:01,34
2020-06-26 07:55:01,33
