NR,t_HydrTa,t_cool_water,t_Column,t_HdStUp,t_HdStLw,t_Envir,t_RigAnt,t_RMnPos,t_Amb_Mn,t_FondMn,t_SxRiga,t_DxRiga,t_SxAmb,t_DxAmb,t_SxFond,t_DxFond,PLC_Byte,PLC_Byt2,PLC_VAL,DataTime
1,+26.2,+3137,+20.1,+21.1,+20.7,+25.2,+19.2,+19.5,+19.5,+19.7,+18.6,+19.2,+18.8,+19.2,+18.8,+18.9,%00000000,%00000000,+0,13:32:15 05.07.2021
2,+26.2,+3137,+20.1,+21.1,+20.7,+25.2,+19.2,+19.5,+19.5,+19.7,+18.6,+19.2,+18.8,+19.2,+18.8,+18.9,%00000000,%00000000,+0,13:32:16 05.07.2021
3,+26.2,+3137,+20.1,+21.1,+20.7,+25.2,+19.2,+19.5,+19.5,+19.7,+18.6,+19.2,+18.8,+19.2,+18.8,+18.9,%00000000,%00000000,+0,13:32:16 05.07.2021
4,+26.2,+3137,+20.1,+21.1,+20.7,+25.2,+19.2,+19.5,+19.5,+19.7,+18.6,+19.2,+18.8,+19.2,+18.8,+18.9,%00000000,%00000000,+0,13:32:16 05.07.2021
5,+26.2,+3137,+20.1,+21.1,+20.7,+25.2,+19.2,+19.5,+19.5,+19.7,+18.6,+19.2,+18.8,+19.2,+18.8,+18.9,%00000000,%00000000,+0,13:32:17 05.07.2021
6,+26.2,+3137,+20.1,+21.1,+20.7,+25.2,+19.2,+19.5,+19.5,+19.7,+18.7,+19.2,+18.8,+19.2,+18.8,+18.9,%00000000,%00000000,+0,13:32:17 05.07.2021
7,+26.2,+3137,+20.1,+21.1,+20.7,+25.2,+19.2,+19.5,+19.5,+19.7,+18.7,+19.2,+18.8,+19.2,+18.8,+18.9,%00000000,%00000000,+0,13:32:17 05.07.2021
8,+26.2,+3137,+20.1,+21.1,+20.7,+25.2,+19.2,+19.5,+19.5,+19.7,+18.7,+19.2,+18.8,+19.2,+18.8,+18.9,%00000000,%00000000,+0,13:32:18 05.07.2021
9,+26.2,+3137,+20.1,+21.1,+20.7,+25.3,+19.2,+19.5,+19.5,+19.7,+18.7,+19.2,+18.8,+19.2,+18.8,+18.9,%00000000,%00000000,+0,13:32:18 05.07.2021
10,+26.3,+3137,+20.1,+21.1,+20.7,+25.3,+19.2,+19.5,+19.5,+19.7,+18.7,+19.2,+18.8,+19.2,+18.8,+18.9,%00000000,%00000000,+0,13:32:38 05.07.2021
11,+26.3,+3137,+20.1,+21.1,+20.7,+25.3,+19.2,+19.5,+19.5,+19.7,+18.7,+19.2,+18.8,+19.2,+18.8,+18.9,%00000000,%00000000,+0,13:32:39 05.07.2021
12,+26.3,+3137,+20.1,+21.1,+20.7,+25.3,+19.2,+19.5,+19.5,+19.7,+18.7,+19.2,+18.8,+19.2,+18.8,+18.9,%00000000,%00000000,+0,13:32:39 05.07.2021
13,+26.3,+3137,+20.1,+21.1,+20.7,+25.3,+19.2,+19.5,+19.5,+19.7,+18.7,+19.2,+18.8,+19.2,+18.8,+18.9,%00000000,%00000000,+0,13:32:39 05.07.2021
14,+26.3,+3137,+20.1,+21.1,+20.7,+25.3,+19.2,+19.5,+19.5,+19.7,+18.7,+19.2,+18.8,+19.2,+18.8,+18.9,%00000000,%00000000,+0,13:32:40 05.07.2021
15,+26.3,+3137,+20.1,+21.1,+20.7,+25.3,+19.2,+19.5,+19.5,+19.7,+18.7,+19.2,+18.8,+19.2,+18.8,+18.9,%00000000,%00000000,+0,13:32:40 05.07.2021
16,+26.3,+3137,+20.1,+21.1,+20.7,+25.2,+19.2,+19.5,+19.5,+19.7,+18.7,+19.2,+18.8,+19.2,+18.8,+18.9,%00000000,%00000000,+0,13:34:01 05.07.2021
17,+26.3,+3137,+20.1,+21.1,+20.8,+25.2,+19.2,+19.5,+19.5,+19.7,+18.7,+19.2,+18.8,+19.2,+18.8,+18.9,%00000000,%00000000,+0,13:36:01 05.07.2021
18,+26.4,+3137,+20.1,+21.1,+20.8,+25.3,+19.2,+19.5,+19.5,+19.8,+18.7,+19.2,+18.8,+19.2,+18.8,+18.9,%00000000,%00000000,+0,13:38:01 05.07.2021
19,+26.4,+3137,+20.1,+21.1,+20.8,+25.3,+19.2,+19.5,+19.5,+19.8,+18.7,+19.2,+18.8,+19.2,+18.8,+18.9,%00000000,%00000000,+0,13:40:01 05.07.2021
20,+26.4,+3137,+20.1,+21.1,+20.8,+25.4,+19.2,+19.5,+19.5,+19.8,+18.7,+19.2,+18.8,+19.2,+18.8,+18.9,%00000000,%00000000,+0,13:41:14 05.07.2021
21,+26.4,+3137,+20.1,+21.1,+20.8,+25.4,+19.2,+19.5,+19.5,+19.8,+18.7,+19.2,+18.8,+19.2,+18.8,+18.9,%00000000,%00000000,+0,13:41:16 05.07.2021
22,+26.4,+3137,+20.1,+21.1,+20.8,+25.4,+19.2,+19.5,+19.5,+19.8,+18.7,+19.2,+18.8,+19.2,+18.8,+18.9,%00000000,%00000000,+0,13:41:20 05.07.2021
23,+26.4,+3137,+20.1,+21.1,+20.8,+25.4,+19.2,+19.5,+19.5,+19.8,+18.7,+19.2,+18.8,+19.2,+18.8,+18.9,%00000000,%00000000,+0,13:41:23 05.07.2021
