DataTime,t_HydrTa,t_cool_water,t_Column,t_HdStUp,t_HdStLw,t_Envir,t_RigAnt,t_RMnPos,t_Amb_Mn,t_FondMn,t_SxRiga,t_DxRiga,t_SxAmb,t_DxAmb,t_SxFond,t_DxFond,PLC_VAL
2021-07-05 13:32:15,26.2,3137.0,20.1,21.1,20.7,25.2,19.2,19.5,19.5,19.7,18.6,19.2,18.8,19.2,18.8,18.9,0
2021-07-05 13:32:16,26.2,3137.0,20.1,21.1,20.7,25.2,19.2,19.5,19.5,19.7,18.6,19.2,18.8,19.2,18.8,18.9,0
2021-07-05 13:32:16,26.2,3137.0,20.1,21.1,20.7,25.2,19.2,19.5,19.5,19.7,18.6,19.2,18.8,19.2,18.8,18.9,0
2021-07-05 13:32:16,26.2,3137.0,20.1,21.1,20.7,25.2,19.2,19.5,19.5,19.7,18.6,19.2,18.8,19.2,18.8,18.9,0
2021-07-05 13:32:17,26.2,3137.0,20.1,21.1,20.7,25.2,19.2,19.5,19.5,19.7,18.6,19.2,18.8,19.2,18.8,18.9,0
2021-07-05 13:32:17,26.2,3137.0,20.1,21.1,20.7,25.2,19.2,19.5,19.5,19.7,18.7,19.2,18.8,19.2,18.8,18.9,0
2021-07-05 13:32:17,26.2,3137.0,20.1,21.1,20.7,25.2,19.2,19.5,19.5,19.7,18.7,19.2,18.8,19.2,18.8,18.9,0
2021-07-05 13:32:18,26.2,3137.0,20.1,21.1,20.7,25.2,19.2,19.5,19.5,19.7,18.7,19.2,18.8,19.2,18.8,18.9,0
2021-07-05 13:32:18,26.2,3137.0,20.1,21.1,20.7,25.3,19.2,19.5,19.5,19.7,18.7,19.2,18.8,19.2,18.8,18.9,0
2021-07-05 13:32:38,26.3,3137.0,20.1,21.1,20.7,25.3,19.2,19.5,19.5,19.7,18.7,19.2,18.8,19.2,18.8,18.9,0
2021-07-05 13:32:39,26.3,3137.0,20.1,21.1,20.7,25.3,19.2,19.5,19.5,19.7,18.7,19.2,18.8,19.2,18.8,18.9,0
2021-07-05 13:32:39,26.3,3137.0,20.1,21.1,20.7,25.3,19.2,19.5,19.5,19.7,18.7,19.2,18.8,19.2,18.8,18.9,0
2021-07-05 13:32:39,26.3,3137.0,20.1,21.1,20.7,25.3,19.2,19.5,19.5,19.7,18.7,19.2,18.8,19.2,18.8,18.9,0
2021-07-05 13:32:40,26.3,3137.0,20.1,21.1,20.7,25.3,19.2,19.5,19.5,19.7,18.7,19.2,18.8,19.2,18.8,18.9,0
2021-07-05 13:32:40,26.3,3137.0,20.1,21.1,20.7,25.3,19.2,19.5,19.5,19.7,18.7,19.2,18.8,19.2,18.8,18.9,0
2021-07-05 13:34:01,26.3,3137.0,20.1,21.1,20.7,25.2,19.2,19.5,19.5,19.7,18.7,19.2,18.8,19.2,18.8,18.9,0
2021-07-05 13:36:01,26.3,3137.0,20.1,21.1,20.8,25.2,19.2,19.5,19.5,19.7,18.7,19.2,18.8,19.2,18.8,18.9,0
2021-07-05 13:38:01,26.4,3137.0,20.1,21.1,20.8,25.3,19.2,19.5,19.5,19.8,18.7,19.2,18.8,19.2,18.8,18.9,0
2021-07-05 13:40:01,26.4,3137.0,20.1,21.1,20.8,25.3,19.2,19.5,19.5,19.8,18.7,19.2,18.8,19.2,18.8,18.9,0
2021-07-05 13:41:14,26.4,3137.0,20.1,21.1,20.8,25.4,19.2,19.5,19.5,19.8,18.7,19.2,18.8,19.2,18.8,18.9,0
2021-07-05 13:41:16,26.4,3137.0,20.1,21.1,20.8,25.4,19.2,19.5,19.5,19.8,18.7,19.2,18.8,19.2,18.8,18.9,0
2021-07-05 13:41:20,26.4,3137.0,20.1,21.1,20.8,25.4,19.2,19.5,19.5,19.8,18.7,19.2,18.8,19.2,18.8,18.9,0
2021-07-05 13:41:23,26.4,3137.0,20.1,21.1,20.8,25.4,19.2,19.5,19.5,19.8,18.7,19.2,18.8,19.2,18.8,18.9,0
2021-07-05 13:43:01,26.4,3137.0,20.1,21.1,20.8,25.3,19.2,19.5,19.5,19.8,18.6,19.2,18.8,19.2,18.8,18.9,0
2021-07-05 13:45:01,26.5,3137.0,20.1,21.1,20.8,25.4,19.2,19.5,19.5,19.7,18.6,19.2,18.8,19.2,18.8,18.9,0
2021-07-05 13:47:01,26.6,3137.0,20.1,21.1,20.8,25.5,19.2,19.5,19.4,19.7,18.6,19.2,18.8,19.2,18.8,18.9,0
2021-07-05 13:49:01,26.6,3137.0,20.1,21.1,20.8,25.4,19.2,19.5,19.4,19.7,18.5,19.2,18.8,19.2,18.8,18.9,0
2021-07-05 13:51:01,26.7,3137.0,20.1,21.1,20.8,25.4,19.2,19.5,19.4,19.7,18.5,19.2,18.8,19.2,18.8,18.9,0
2021-07-05 13:51:41,26.7,3137.0,20.1,21.1,20.8,25.3,19.2,19.5,19.4,19.8,18.5,19.2,18.8,19.2,18.8,18.9,0
2021-07-05 13:51:59,26.7,3137.0,20.1,21.1,20.8,25.3,19.2,19.5,19.4,19.8,18.5,19.2,18.8,19.2,18.8,18.9,0
2021-07-05 13:53:01,26.7,3137.0,20.1,21.1,20.8,25.3,19.2,19.5,19.4,19.7,18.5,19.2,18.8,19.2,18.8,18.9,0
2021-07-05 13:55:01,26.7,3137.0,20.1,21.1,20.8,25.3,19.2,19.5,19.4,19.7,18.5,19.1,18.8,19.2,18.8,18.9,0
2021-07-05 13:57:01,26.7,3137.0,20.0,21.1,20.7,25.3,19.2,19.5,19.4,19.7,18.5,19.1,18.8,19.2,18.8,18.9,0
2021-07-05 13:59:01,26.8,3137.0,20.0,21.1,20.7,25.4,19.2,19.5,19.4,19.7,18.5,19.1,18.8,19.2,18.8,18.9,0
2021-07-05 14:01:01,26.7,3137.0,20.0,21.1,20.7,25.2,19.2,19.5,19.4,19.7,18.5,19.1,18.8,19.2,18.7,18.9,0
2021-07-05 14:03:01,26.7,3137.0,20.0,21.1,20.7,25.3,19.2,19.5,19.4,19.7,18.5,19.1,18.8,19.1,18.7,18.9,0
2021-07-05 14:05:01,26.8,3137.0,20.0,21.1,20.7,25.3,19.2,19.5,19.4,19.7,18.5,19.1,18.8,19.2,18.7,18.9,0
2021-07-05 14:07:01,26.8,3137.0,20.0,21.1,20.7,25.2,19.2,19.5,19.4,19.7,18.5,19.1,18.8,19.1,18.7,18.9,0
2021-07-05 14:09:01,26.8,3137.0,20.0,21.1,20.7,25.3,19.2,19.5,19.3,19.7,18.5,19.1,18.8,19.1,18.7,18.9,0
2021-07-05 14:11:01,26.9,3137.0,19.9,21.1,20.7,25.2,19.2,19.5,19.3,19.7,18.5,19.1,18.8,19.1,18.7,18.9,0
